Date,Hours,Up,Reserved,SystemUtilization
2021/03/01,21,1399.0,1364.45,97.53
2021/03/01,22,1399.0,1362.35,97.38
2021/03/01,23,1400.35,1359.15,97.06
2021/03/02,00,1402.0,1361.4,97.1
2021/03/02,01,1402.0,1361.1,97.08
2021/03/02,02,1402.0,1358.8,96.92
2021/03/02,03,1402.0,1360.3,97.03
2021/03/02,04,1402.0,1349.05,96.22
2021/03/02,05,1402.0,1339.0,95.51
2021/03/02,06,1402.0,1339.0,95.51
2021/03/02,07,1402.0,1348.8,96.21
2021/03/02,08,1402.0,1338.95,95.5
2021/03/02,09,1402.0,1343.05,95.8
2021/03/02,10,1402.0,1352.65,96.48
2021/03/02,11,1402.0,1352.5,96.47
2021/03/02,12,1402.0,1352.65,96.48
2021/03/02,13,1403.8,1358.3,96.76
2021/03/02,14,1405.0,1357.2,96.6
2021/03/02,15,1405.1,1356.1,96.51
2021/03/02,16,1407.0,1356.05,96.38
2021/03/02,17,1408.25,1351.2,95.95
2021/03/02,18,1403.0,1346.85,96.0
2021/03/02,19,1403.0,1345.8,95.92
2021/03/02,20,1403.0,1343.7,95.77
2021/03/02,21,1403.0,1314.3,93.68
2021/03/02,22,1403.0,1291.75,92.07
2021/03/02,23,1403.0,1291.85,92.08
2021/03/03,00,1403.0,1281.8,91.36
2021/03/03,01,1403.0,1293.25,92.18
2021/03/03,02,1403.0,1286.6,91.7
2021/03/03,03,1403.0,1308.0,93.23
2021/03/03,04,1403.0,1345.7,95.92
2021/03/03,05,1403.0,1335.5,95.19
2021/03/03,06,1403.0,1328.95,94.72
2021/03/03,07,1403.0,1334.5,95.12
2021/03/03,08,1403.0,1329.55,94.76
2021/03/03,09,1403.0,1314.7,93.71
2021/03/03,10,1403.0,1330.65,94.84
2021/03/03,11,1403.15,1335.75,95.2
2021/03/03,12,1407.0,1335.0,94.88
2021/03/03,13,1408.8,1212.6,86.07
2021/03/03,14,1408.0,1115.2,79.2
