Date,Time,System Utilization,Eligible/Idle Jobs,Active Jobs
2021/03/08,21:44,1.774,0/1,1
2021/03/08,21:44,47.007,0/5,6
2021/03/08,21:54,75.240,0/7,13
2021/03/08,22:04,75.462,0/4,16
2021/03/08,22:14,75.684,0/2,17
2021/03/08,22:24,75.684,0/0,17
2021/03/08,22:34,75.758,1/3,18
2021/03/08,22:44,82.483,0/3,20
2021/03/08,22:54,82.483,0/0,20
2021/03/08,23:04,83.370,0/2,21
2021/03/08,23:14,84.405,0/3,21
2021/03/08,23:24,84.996,1/4,23
2021/03/08,23:34,85.883,1/4,24
2021/03/08,23:44,85.588,1/1,23
2021/03/08,23:54,69.993,0/4,26
2021/03/09,00:04,47.820,0/1,25
2021/03/09,00:14,47.967,3/9,27
2021/03/09,00:24,47.967,3/0,27
2021/03/09,00:34,47.967,3/0,27
2021/03/09,00:44,47.672,3/0,26
2021/03/09,00:54,47.672,3/0,26
2021/03/09,01:04,47.672,3/0,26
2021/03/09,01:14,47.672,3/0,26
2021/03/09,01:24,46.933,3/0,25
2021/03/09,01:34,46.933,3/0,25
2021/03/09,01:44,46.933,3/0,25
2021/03/09,01:54,46.933,3/0,25
2021/03/09,02:04,46.933,3/0,25
2021/03/09,02:14,46.933,3/0,25
2021/03/09,02:24,46.489,3/0,24
2021/03/09,02:34,45.972,3/0,22
2021/03/09,02:44,45.972,3/0,22
2021/03/09,02:54,45.972,3/0,22
2021/03/09,03:04,45.972,3/0,22
2021/03/09,03:14,45.972,3/0,22
2021/03/09,03:24,45.972,3/0,22
2021/03/09,03:34,45.972,3/0,22
2021/03/09,03:44,45.972,3/0,22
2021/03/09,03:54,45.972,3/0,22
2021/03/09,04:04,45.972,3/0,22
2021/03/09,04:14,45.972,3/0,22
2021/03/09,04:24,42.720,3/0,21
2021/03/09,04:34,42.720,3/0,21
2021/03/09,04:44,42.720,3/0,21
2021/03/09,04:54,42.720,3/0,21
2021/03/09,05:04,42.720,3/0,21
2021/03/09,05:14,42.720,3/0,21
2021/03/09,05:24,42.720,3/0,21
2021/03/09,05:34,42.720,3/0,21
2021/03/09,05:44,42.720,3/0,21
2021/03/09,05:54,42.720,3/0,21
2021/03/09,06:04,42.720,3/0,21
2021/03/09,06:14,42.720,3/0,21
2021/03/09,06:24,42.720,3/0,21
2021/03/09,06:34,42.720,3/0,21
2021/03/09,06:44,42.720,3/0,21
2021/03/09,06:54,42.720,3/0,21
2021/03/09,07:04,42.720,3/0,21
2021/03/09,07:14,42.720,3/0,21
2021/03/09,07:24,45.898,0/1,22
2021/03/09,07:34,45.898,3/0,22
2021/03/09,07:44,45.898,3/0,22
2021/03/09,07:54,42.720,3/0,21
2021/03/09,08:04,42.720,3/0,21
2021/03/09,08:14,41.981,3/0,20
2021/03/09,08:24,41.981,3/0,20
2021/03/09,08:34,41.981,3/0,20
2021/03/09,08:44,41.981,3/0,20
2021/03/09,08:54,41.981,3/0,20
2021/03/09,09:04,41.981,3/0,20
2021/03/09,09:14,41.981,3/0,20
